Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,LILLI,TPS 2,143,33,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUCCADI,TPS 3,121,105,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BULO,SEPPORRAKI,TPS 2,154,67,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,DUNGKAIT,TPS 5,42,20,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PEDONGGA,MALEI,TPS 3,0,0,146,83,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,GALUNG TULUK,TPS 02,143,48,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,SURUANG,TPS 2,85,128,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,TPS 1,164,57,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,TPS 07,181,88,181,88,181,88,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SIMBORO,TPS 07,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,UHAIMATE,TPS 1,106,22,106,22,0,0,0,0
SULAWESI BARAT,MAMUJU,BONEHAU,TAMALEA,TPS 1,168,18,168,18,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,TPS 8,114,59,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,DAPURANG,BENGGAULU,TPS 09,77,80,77,80,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LUYO,BARU,TPS 12,120,100,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,SUMARORONG,SUMARORONG,TPS 3,164,27,164,27,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUMPANG,KALUMPANG,TPS 3,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,TANDUK KALUA,MINAKE,TPS 1,163,33,163,33,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,BATETANGNGA,TPS 15,97,84,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MEHALAAN,ULUMEA,TPS 1,116,24,116,24,116,24,0,0
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO BARAT,TPS 1,162,95,162,95,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,SANDANA,TPS 2,172,17,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,BERU-BERU,TPS 07,159,89,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIMULYO,TPS 1,144,29,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,SALUDENGEN,TPS 3,132,30,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MADATTE,TPS 12,114,186,114,186,86,129,0,0
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,TPS 6,121,69,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,TPS 6,108,65,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,TPS 21,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BARAS,MOTU,TPS 06,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,TPS 8,0,0,167,36,0,0,0,0
SULAWESI BARAT,MAMASA,MESSAWA,MAKUANG,TPS 4,121,11,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,SARUDU,SARUDU,TPS 08,183,65,183,65,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,TPS 05,123,113,123,113,0,0,0,0
SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,TPS 07,131,87,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,TPS 2,169,14,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,TPS 4,74,50,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,TPS 17,97,81,97,81,0,0,0,0
SULAWESI BARAT,MAMASA,BALLA,BALLA,TPS 4,139,10,139,10,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SULOBAJA,TPS 6,180,64,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,TPS 2,85,144,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,TPS 2,205,45,205,45,0,0,0,0
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,TPS 4,87,54,87,54,0,0,0,0
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA,TPS 2,192,15,192,15,192,15,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,TPS 01,154,33,154,33,0,0,0,0
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,TPS 1,178,91,178,91,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,TPS 07,86,109,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,BOTTENG UTARA,TPS 7,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,TPS 09,108,41,108,41,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SIMBORO,TPS 33,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIAYU,TPS 06,69,93,69,93,0,0,0,0
SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,TPS 06,62,11,62,11,0,0,0,0
SULAWESI BARAT,MAMASA,TAWALIAN,TAWALIAN,TPS 03,166,20,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,TOMMO,TPS 2,225,15,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,TIKKE RAYA,PAJALELE,TPS 4,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI SELATAN,TPS 03,82,110,82,110,0,0,0,0
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,TPS 2,161,77,161,77,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,PAMMULUKANG,TPS 4,133,26,133,26,0,0,0,0
SULAWESI BARAT,MAMASA,TAWALIAN,TAWALIAN TIMUR,TPS 2,216,31,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANGNGA TANGNGA,TPS 3,172,65,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PATAMPANUA,TPS 05,136,100,136,100,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,TPS 19,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,PAKAVA,TPS 2,161,76,161,76,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BULU TABA,BUKIT HARAPAN,TPS 3,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,TPS 07,162,31,162,31,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANDUNG,TPS 6,62,137,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMASSANGAN,TPS 07,88,129,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,NEPO,TPS 2,99,135,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,TPS 10,99,59,99,59,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,TPS 01,118,109,118,109,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAMPOKO,TPS 01,164,66,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PAMBUSUANG,TPS 14,122,99,122,99,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BUKU,TPS 1,53,101,53,101,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,DARMA,TPS 23,125,105,0,0,162,101,0,0
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA TIMUR,TPS 2,211,10,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,TPS 7,145,53,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,TPS 4,107,117,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BULO,PULLIWA,TPS 4,114,103,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BAMBALAMOTU,POLEWALI,TPS 08,57,80,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LEMBANG LEMBANG,TPS 04,116,103,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,LARIANG,BATU MATORU,TPS 2,108,78,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN BARAT,TPS 1,177,16,177,16,177,16,0,0
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,TPS 2,155,24,155,24,155,24,0,0
SULAWESI BARAT,MAJENE,BANGGAE,BARU,TPS 09,107,98,107,98,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,TAKATIDUNG,TPS 04,107,113,107,113,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,TPS 2,140,45,140,45,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,SARUDU,SARUDU,TPS 12,141,37,141,37,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SIMBORO,TPS 30,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUGATTA,TPS 4,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,TANDUK KALUA,KANAN,TPS 3,182,8,182,8,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAMPOKO,TPS 06,109,109,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,TAMEJARRA,TPS 4,158,70,158,70,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,BERU-BERU,TPS 03,100,134,100,134,100,134,0,0
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERANG,TPS 3,141,81,141,81,141,81,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,TONYAMAN,TPS 13,86,104,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BULO,PULLIWA,TPS 5,91,52,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BAMBALAMOTU,POLEWALI,TPS 07,212,49,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMANGGALLE,TPS 4,137,81,137,81,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,POLONGAAN,TPS 3,166,38,166,38,0,0,0,0
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,AHU,TPS 1,98,59,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,TPS 2,77,42,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,TPS 5,127,107,127,107,0,0,0,0
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,TPS 2,177,61,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,KAKULLASANG,TPS 2,201,9,201,9,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAPEO,TPS 04,124,78,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,TPS 1,180,9,180,9,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,BONDE,TPS 12,32,69,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,TPS 13,137,82,137,82,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SALARRI,TPS 2,80,111,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,TPS 06,0,0,80,20,80,20,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,TPS 43,0,0,73,100,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMASSANGAN,TPS 05,108,108,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,TPS 4,0,0,214,22,214,22,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SUMARE,TPS 1,200,31,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,MATAKALI,TPS 03,123,118,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,TPS 1,139,29,139,29,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,TPS 05,157,86,157,86,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,PASANGKAYU,TPS 06,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LAGI-AGI,TPS 5,117,114,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,TPS 13,0,0,86,119,86,119,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,AKO,TPS 4,146,132,0,0,146,132,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI SELATAN,TPS 08,0,0,185,49,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUGIHWARAS,TPS 07,0,0,163,84,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,BONDE,TPS 08,138,85,138,85,0,0,0,0
SULAWESI BARAT,MAMASA,SUMARORONG,RANTEKAMASE,TPS 3,178,17,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BAMBALAMOTU,KALOLA,TPS 7,141,11,141,11,0,0,0,0
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,TPS 02,156,87,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,UGIBARU,TPS 8,129,112,129,112,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,PASANGKAYU,TPS 23,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,DARMA,TPS 04,91,142,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,PANA,ULUSALU INDAH,TPS 2,170,2,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SUMARE,TPS 4,220,51,220,51,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,BUANA SAKTI,TPS 4,162,40,162,40,0,0,0,0
SULAWESI BARAT,MAMASA,MAMBI,TALIPUKKI,TPS 2,127,98,127,98,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN UTARA,TPS 2,67,16,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDODADI,TPS 16,87,156,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUMBEREJO,TPS 08,140,70,140,70,0,0,0,0
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,TPS 2,83,69,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,TPS 03,0,0,79,124,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,TPS 07,152,84,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,TPS 1,142,111,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BATU,TPS 1,134,63,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,TPS 2,33,19,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BAMBALAMOTU,WULAI,TPS 6,133,12,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,POLEWALI,TPS 10,115,81,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,TPS 1,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,PAMMULUKANG,TPS 3,159,76,159,76,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,TPS 23,160,81,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,MARTAJAYA,TPS 3,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,TABULAHAN,SALUBAKKA,TPS 1,149,16,149,16,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,SULEWATANG,TPS 08,159,72,159,72,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,SARUDU,BULU MARIO,TPS 4,163,99,163,99,0,0,0,0
SULAWESI BARAT,MAMASA,PANA,SALOAN,TPS 3,187,1,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PODA,TPS 4,152,27,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,GULILING,TPS 2,172,42,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,TPS 3,96,7,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,TPS 02,110,85,110,85,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,KEANG,TPS 09,89,4,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,TPS 2,110,82,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,SARJO,SARUDE,TPS 3,148,87,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,KALEOK,TPS 3,106,19,106,19,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TUBBI,TPS 2,137,96,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,BA'BA TAPUA,TPS 1,106,73,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,JAMBU MALEA,TPS 3,94,100,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,TPS 5,117,62,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDOREJO,TPS 07,0,0,117,124,0,0,0,0
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,TPS 5,72,111,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUBANUA SELATAN,TPS 1,227,1,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,TPS 3,112,52,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,KABULOANG,TPS 6,188,42,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SULOBAJA,TPS 1,117,28,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,DAPURANG,BULU BONGGU,TPS 4,175,50,175,50,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BULU TABA,KARAVE,TPS 7,136,14,136,14,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MADATTE,TPS 06,102,128,102,128,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MAMBU TAPUA,TPS 1,142,24,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PAMBUSUANG,TPS 08,141,86,141,86,0,0,0,0
SULAWESI BARAT,MAMASA,TANDUK KALUA,TALIMBUNG,TPS 1,0,0,185,17,0,0,0,0
SULAWESI BARAT,MAMUJU,BONEHAU,LUMIKA I,TPS 1,123,17,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,TPS 01,92,48,92,48,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LEMBANG LEMBANG,TPS 02,74,175,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,TPS 4,46,136,46,136,46,136,0,0
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,TPS 09,166,24,166,24,166,24,0,0
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,TPS 02,88,41,88,41,0,0,0,0
SULAWESI BARAT,MAMASA,TABANG,TABANG,TPS 1,65,97,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,TAKATIDUNG,TPS 02,123,132,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,NEPO,TPS 7,118,66,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,TPS 10,82,106,82,106,0,0,0,0
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,TPS 1,118,70,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,TPS 4,131,23,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,TIKKE RAYA,PAJALELE,TPS 1,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,TPS 8,112,57,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,TPS 05,211,73,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PEDONGGA,MARTASARI,TPS 2,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,BAMBALAMOTU,PANGIANG,TPS 3,105,30,105,30,0,0,0,0
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,TPS 3,114,7,114,7,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,PATI'DI,TPS 2,78,180,78,180,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,PASANGKAYU,TPS 21,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,TPS 16,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,ALLU,PUPPU URING,TPS 3,71,21,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,BINUANG,PAKU,TPS 7,103,105,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,TANDUK KALUA,MINAKE,TPS 3,176,20,176,20,0,0,0,0
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,TPS 02,88,95,0,0,0,0,0,0
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,TPS 2,106,27,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,TPS 3,0,0,167,6,167,6,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,TPS 3,207,50,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,TPS 40,0,0,60,107,60,107,0,0
SULAWESI BARAT,POLEWALI MANDAR,ALLU,PAO-PAO,TPS 3,156,48,156,48,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BUNGA-BUNGA,TPS 1,116,92,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,ARALLE,KALABE,TPS 1,118,20,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SUMARE,TPS 3,236,33,236,33,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,TPS 6,177,48,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,SIMBORO,TPS 12,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,WATTANG,TPS 15,0,0,154,99,0,0,0,0
SULAWESI BARAT,MAMUJU,TOMMO,LELING UTARA,TPS 6,71,5,71,5,0,0,0,0
SULAWESI BARAT,MAMUJU,BONEHAU,BUTTUADA,TPS 2,129,24,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,TPS 14,140,97,140,97,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,POKKANG,TPS 6,190,19,190,19,0,0,0,0
SULAWESI BARAT,MAMUJU,SIMBORO DAN KEPULAUAN,RANGAS,TPS 14,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,TPS 03,0,0,131,20,131,20,0,0
SULAWESI BARAT,MAMASA,TANDUK KALUA,PARONDOBULAWAN,TPS 2,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,TABULAHAN,LAKAHANG,TPS 5,215,45,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,TPS 4,99,108,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI BARAT,TPS 2,131,53,131,53,0,0,0,0
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU,TPS 04,173,114,173,114,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PEDONGGA,MALEI,TPS 2,0,0,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,POLLEWANI,TPS 7,150,60,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,TPS 5,92,7,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,TPS 4,45,10,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,ARALLE,ARALLE UTARA,TPS 1,55,38,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,DURIPOKU,SAPTANAJAYA,TPS 2,83,96,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,TPS 16,103,30,103,29,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,PASANGKAYU,TPS 19,0,0,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,TPS 5,141,35,141,35,141,35,0,0
SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMMAJARRA,TPS 4,118,101,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,LALIKO,TPS 09,122,77,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,PASANGKAYU,AKO,TPS 2,191,88,0,0,0,0,0,0
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,TPS 3,130,14,130,14,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDODADI,TPS 04,67,161,0,0,0,0,0,0
SULAWESI BARAT,POLEWALI MANDAR,CAMPALAGIAN,SUMARRANG,TPS 11,135,67,0,0,0,0,0,0
SULAWESI BARAT,MAMUJU UTARA,DAPURANG,SARASA,TPS 3,215,57,215,57,0,0,0,0
