Prop,Kota,Kec,Kel,TPS,01 KPU,02 KPU,01 KawalPemilu,02 KawalPemilu,01 KawalPilpres,02 KawalPilpres,01 AyoJagaTPS,02 AyoJagaTPS
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 05,116,88,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 22,130,36,130,36,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 08,145,14,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 20,184,74,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 6,84,3,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 4,204,10,204,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 12,195,30,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 5,161,30,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 11,176,41,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 12,146,10,146,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 26,165,44,165,44,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 2,185,7,185,7,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 18,158,21,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 1,110,10,110,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 10,199,0,199,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 02,0,0,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 23,168,16,168,16,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 29,90,25,90,25,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 28,62,27,62,27,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 21,128,19,128,19,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BANI AMAS,TPS 1,220,25,220,25,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 24,129,34,129,34,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 7,116,8,116,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 17,165,90,165,90,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 31,55,18,55,18,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 07,179,21,179,21,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 05,195,15,195,15,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 1,198,31,198,31,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 25,216,24,216,24,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 10,0,0,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 20,153,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 7,130,13,130,13,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 3,196,8,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 19,141,19,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 27,132,8,132,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 5,104,0,104,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 7,118,5,118,5,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 03,143,54,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 09,171,121,171,121,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 8,94,19,94,19,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 2,227,2,227,2,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 13,181,23,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 04,163,68,163,68,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 02,102,116,102,116,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BANI AMAS,TPS 2,239,13,239,13,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 6,138,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 14,102,59,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 4,193,26,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 16,146,22,146,22,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 19,131,71,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 03,160,50,160,50,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 01,151,94,151,94,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 9,88,63,88,63,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 18,169,65,169,65,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 9,135,6,135,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 8,112,7,112,7,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BANI AMAS,TPS 3,241,39,241,39,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 07,211,23,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 04,115,61,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 15,192,20,192,20,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 08,237,9,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 2,222,8,222,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 06,199,22,199,22,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 4,129,1,129,1,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 15,147,82,147,82,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BANI AMAS,TPS 5,229,24,229,24,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 30,0,0,45,16,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 6,196,10,196,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 3,63,48,63,48,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 16,183,25,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 14,142,62,142,62,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 13,166,44,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 11,202,19,202,19,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 17,0,0,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,TIRTA KENCANA,TPS 1,242,12,242,12,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 09,148,78,148,78,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BUMI EMAS,TPS 06,198,55,198,55,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SETIA BUDI,TPS 5,104,8,104,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BHAKTI MULYA,TPS 3,156,9,156,9,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,BANI AMAS,TPS 4,222,38,222,38,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,BENGKAYANG,SEBALO,TPS 01,190,51,190,51,190,51,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SETANDUK,TPS 5,116,13,116,13,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SABANDUT,TPS 1,85,71,85,71,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SETANDUK,TPS 1,125,4,125,4,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SETANDUK,TPS 4,199,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 7,174,25,174,25,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 4,123,21,123,21,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,PAWANGI,TPS 1,61,172,61,172,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SABANDUT,TPS 3,144,10,144,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 9,129,29,129,29,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 5,105,9,105,9,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,ARIS,TPS 4,107,25,107,25,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 8,172,6,172,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 1,156,9,156,9,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,ARIS,TPS 2,83,11,83,11,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,ARIS,TPS 3,100,10,100,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SABANDUT,TPS 2,0,0,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 2,152,6,152,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,PAWANGI,TPS 3,80,136,80,136,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,ARIS,TPS 1,114,8,114,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,PAWANGI,TPS 2,72,152,72,152,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,MANDOR,TPS 2,139,30,139,30,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 6,169,14,169,14,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,MANDOR,TPS 3,172,23,172,23,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SETANDUK,TPS 3,233,6,233,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,MANDOR,TPS 1,143,32,143,32,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,CAPKALA,TPS 3,187,6,187,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,CAPKALA,SETANDUK,TPS 2,157,3,157,3,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 3,197,8,197,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 6,119,5,119,5,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 8,125,14,125,14,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEMUNYING JAYA,TPS 1,169,3,169,3,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 4,181,4,181,4,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,GERSIK,TPS 2,156,15,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 7,178,14,178,14,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,GERSIK,TPS 1,169,6,169,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 1,208,8,208,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 5,176,3,176,3,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 1,207,9,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 3,169,2,169,2,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,KUMBA,TPS 1,136,70,136,70,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SINAR BARU,TPS 3,156,39,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,GERSIK,TPS 4,79,2,79,2,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 4,128,2,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SINAR BARU,TPS 2,74,2,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 5,106,14,106,14,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,GERSIK,TPS 3,171,13,171,13,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,KUMBA,TPS 3,194,26,194,26,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,KUMBA,TPS 2,93,124,93,124,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 2,172,4,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEKIDA,TPS 6,112,23,112,23,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,JAGOI,TPS 2,192,4,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SEMUNYING JAYA,TPS 2,68,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,JAGOI BABANG,SINAR BARU,TPS 1,115,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 5,78,16,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,DAYUNG,TPS 4,125,6,125,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SIDAI,TPS 4,62,18,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,JESAPE,TPS 3,134,6,134,6,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,RODAYA,TPS 2,108,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SELES,TPS 4,131,1,131,1,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 05,103,5,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 6,87,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,DAYUNG,TPS 2,110,7,110,7,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA JAYA,TPS 1,203,25,203,25,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,JESAPE,TPS 2,90,31,90,31,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 04,135,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SIDAI,TPS 3,59,2,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SELES,TPS 2,89,0,89,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 6,103,5,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SIDAI,TPS 1,57,3,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SEMANGAT,TPS 2,165,33,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,TEBUAH MARONG,TPS 1,124,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,DAYUNG,TPS 3,81,3,81,3,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,TEBUAH MARONG,TPS 2,113,16,113,16,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 03,77,133,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 1,47,147,47,147,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SEMANGAT,TPS 1,170,4,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 06,164,13,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SIDAI,TPS 2,42,4,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,TEBUAH MARONG,TPS 3,97,35,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SELES,TPS 3,80,2,80,2,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 1,266,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 4,143,15,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA JAYA,TPS 3,182,55,182,55,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 07,162,21,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SEMANGAT,TPS 3,125,3,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SERANGKAT,TPS 1,160,23,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 4,58,1,58,1,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 01,126,79,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SELES,TPS 1,127,0,127,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,JESAPE,TPS 1,129,22,129,22,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 02,162,80,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 2,141,11,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SERANGKAT,TPS 2,122,9,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SERANGKAT,TPS 3,77,52,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 3,77,9,77,9,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,RODAYA,TPS 3,115,6,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 3,139,42,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LOMBA KARYA,TPS 5,102,13,102,13,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 09,163,78,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA JAYA,TPS 2,158,89,158,89,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 08,166,28,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,DAYUNG,TPS 1,216,17,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SEMANGAT,TPS 4,232,8,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,SUKA DAMAI,TPS 2,166,10,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,LESABELA,TPS 10,82,95,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEDO,RODAYA,TPS 1,177,5,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,KINANDE,TPS 4,52,14,52,14,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,KINANDE,TPS 3,97,12,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,LEMBAH BAWANG,TPS 3,38,1,38,1,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,JANYAT,TPS 2,105,18,105,18,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,SAKA TARU,TPS 2,121,16,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,PAPAN TEMBAWANG,TPS 3,68,10,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,PAPAN TEMBAWANG,TPS 2,90,24,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,LEMBAH BAWANG,TPS 2,103,5,103,5,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,GODANG DAMAR,TPS 2,196,15,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,JANYAT,TPS 1,168,18,168,18,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,SAKA TARU,TPS 1,134,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,GODANG DAMAR,TPS 4,112,3,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,PAPAN UDUK,TPS 2,92,3,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,PAPAN UDUK,TPS 1,148,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,PAPAN TEMBAWANG,TPS 1,110,34,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,GODANG DAMAR,TPS 5,143,5,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,TEMPAPAN,TPS 1,125,19,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,TEMPAPAN,TPS 2,114,13,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,SAKA TARU,TPS 3,140,6,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,KINANDE,TPS 2,144,54,144,54,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,GODANG DAMAR,TPS 3,183,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,GODANG DAMAR,TPS 1,173,29,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,LEMBAH BAWANG,TPS 1,153,10,153,10,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LEMBAH BAWANG,KINANDE,TPS 1,153,21,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 6,183,15,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,SEREN SELIMBAU,TPS 4,26,0,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 3,154,19,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 1,169,8,169,8,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 7,66,5,66,5,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 5,189,7,189,7,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,LAMOLDA,TPS 3,181,2,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 4,108,13,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 2,136,26,136,26,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 5,142,7,142,7,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,LAMOLDA,TPS 2,107,8,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,SEREN SELIMBAU,TPS 2,207,9,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,SEREN SELIMBAU,TPS 1,128,4,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,SEREN SELIMBAU,TPS 3,160,5,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,LAMOLDA,TPS 4,66,7,0,0,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 9,26,24,26,24,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 2,182,5,182,5,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,TIGA BERKAT,TPS 3,252,4,252,4,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,BELIMBING,TPS 1,206,23,206,23,0,0,0,0
KALIMANTAN BARAT,BENGKAYANG,LUMAR,MAGMAGAN KARYA,TPS 2,157,19,0,0,0,0,0,0
